FullName,Winery,ScoreAIS,Grapes,Tasting Notes,Pairing,Price,Bottles,Alcohol,Aging
Barale,Barolo Bussia Riserva 2014,91,Nebbiolo 100%,"Di quei vini che piacciono, si bevono e si godono Il naso è integro, quasi antico, dal tono floreale e speziato, caldo nei sentori di frutta matura e confetture, agrumi, menta e aghi di pino Al gusto conquista per il sapore pieno e tanta armonia, tannini dolci e lunga e acida persistenza",Fagiano in salmì,65,1,14,Legno 36 mesi
Barale,Barbaresco Serraboella 2018,,Nebbiolo 100%,,Risotti di terra,35,3,14,Legno 24 mesi
Barale,Barolo Castellero 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,50,4,14,Legno 36 mesi
Barale,Barolo Del Comune Di Barolo 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,32,8,14,Legno 36 mesi
Barale,Langhe Nebbiolo 2020,,Nebbiolo 100%,,Primi piatti di pasta o pasta fresca ripiena,18,15,14,Legno 12 mesi
Batasiolo,Barolo Briccolina 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,60,8,"14,5",Acciaio 12 mesi e Legno 30 mesi
Batasiolo,Barolo Bussia Vigneto Bofani 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,40,13,"14,5",Legno 30 mesi
Batasiolo,Barolo Boscareto 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,40,13,"14,5",Legno 30 mesi
Batasiolo,Barbaresco 2017,,Nebbiolo 100%,,Carni bianche o da cortile,25,60,14,Acciaio 6 mesi e Legno 18 mesi
Bava,Barolo Scarrone 2015,,Nebbiolo 100%,"Granato luminoso Olfatto caratterizzato da profumi di chicchi di melograno, arance amare, fiori rossi pestati, liquirizia, spezie fini, genziana, assenzio e chiude un lieve cenno ferroso In bocca è gustoso, lungo e avvolgente, supportato da una decisa ma mai invasiva trama tannica",Guancia brasata al barolo,35,16,14,Legno 30 mesi
Bava,Piemonte Chardonnay Thou Bianc 2020,,Chardonnay 100%,,Piatti di verdure,10,30,"12,5",Acciaio 6 mesi
Bera,Barbaresco Serraboella 2018,,Nebbiolo 100%,"Vivido colore granato Esemplare nel mostrare il grande potenziale del cru Serraboella: fragolina di bosco, eucalipto, menta fresca, pepe, violetta Tutta gioventù che ritroviamo nel sorso intenso, gustoso, persistente e caratterizzato da un tannino vivo che promette lunga evoluzione",Agnello arrosto,35,3,14,Legno 24 mesi
Bera,Langhe Rosso Sassisto 2018,,Barbera 50% – Nebbiolo 50%,,Carni rosse o selvaggina,22,4,"14,5",Legno 24 mesi
Bera,Alta Langa Brut 2015,,"Chardonnay 50% – Pinot nero 50%  Alc.12,5%",,"Crostacei, molluschi o crudità",21,6,"12,5",
Bera,Barbaresco 2018,,Nebbiolo 100%,,Carni rosse o selvaggina,26,5,14,Acciaio 12 mesi e Legno 24 mesi
Bersano,Nizza Generala Riserva 2017,,Barbera 100%,"Rubino quasi granato Progressioni che iniziano con more mature, mirtilli, amarene sciroppate, poi spezie dolci, quali cannella, stecca di vaniglia e gommosa di liquirizia, e le foglioline di menta a chiudere Massa gustativa di sostanza, calda, avvolta da tannini morbidi e raffinata persistenza",Cannelloni ripieni alla carne,30,50,15,Legno 12 mesi
Bersano,Nizza Cremosina 2019,,Barbera 100%,,Carni rosse o selvaggina,15,20,"14,5",Legno 12 mesi
Bersano,Gavi Del Comune Di Gavi 2020,,Cortese 100%,,Piatti di pesce,14,80,"12,5",
Enzo Boglietti,Barolo Arione 2017,93,Nebbiolo 100%,"Vino di grande finezza, giocato sui dettagli e splendida definizione Il naso è ampio e sciolto, con base fruttata di gran pregio e accenni speziati e floreali a corollario Si sentono menta, viola, rosa passita, ciliegia, confetture, bacche, mou, cacao La bocca è fresca e ordinata con tannino fine e sfumato",Filetto al pepe nero,85,3,"14,5",Legno 30 mesi
Enzo Boglietti,Barolo Brunate 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,85,2,"14,5",Legno 30 mesi
Enzo Boglietti,Barolo Del Comune Di La Morra 2017,,Nebbiolo 100%,,Risotti di terra,45,6,14,Legno 30 mesi
Gilberto Boniperti,Colline Novaresi Nebbiolo Carlin Ii 2018,,Nebbiolo 100%,,Primi piatti di pasta o pasta fresca ripiena,15,8,13,Acciaio 18 mesi
Borgogno,Barolo Liste 2016,93,Nebbiolo 100%,"Granato tenue Già ora caleidoscopico, ed è solo all'inizio: profumi di fragolina, radice di china, raffinati tratti vegetali, sfioritura di viola, menta essiccata, liquirizia fresca.. Bocca calda, di robusta impalcatura tannica, potente ma già in fascinoso equilibrio per tutta la (gran) durata del sorso",Anatra al forno con pere martine,79,6,"14,5",Legno 44 mesi
Borgogno,Barolo Cannubi 2016,,Nebbiolo 100%,,Formaggi stagionati o erborinati,99,6,"14,5",Legno 44 mesi
Borgogno,Barolo Riserva 2014,,Nebbiolo 100%,,Carni rosse o selvaggina,118,20,14,Legno 69 mesi
Borgogno,Colli Tortonesi Timorasso Derthona,,Timorasso 100%,,Formaggi freschi o a pasta filata,39,10,14,Acciaio 12 mesi
Borgogno,Barolo 2016,,Nebbiolo 100%,,Carni rosse o selvaggina,53,30,14,Legno 42 mesi
Borgogno,Langhe Riesling Era Ora 2019,,Riesling 100%,,Piatti di pesce,26,8,"12,5",Acciaio 10 mesi
Boroli,Barolo Brunella 2017,91,Nebbiolo 100%,BAROLO CEREQUIO 2017,,85,11,14,
Boroli,Barolo Villero 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,80,5,14,Legno 24 mesi
Agostino Bosco,Barolo Del Comune Di La Morra 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,27,2,15,Legno 24 mesi
Agostino Bosco,Barolo Neirane 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,34,2,15,Legno 24 mesi
Agostino Bosco,Langhe Nebbiolo Rurem 2019,,Nebbiolo 100%,,Primi piatti di pasta o pasta fresca ripiena,18,3,"13,5",Legno 14 mesi
Luigi Boveri,Colli Tortonesi,,Timorasso 100%,,Piatti di pesce,28,4,"14,5",Acciaio 12 mesi
Azienda Agricola  Bovio Gianfranco,Barolo Arborina 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,48,3,15,Legno 24 mesi
Azienda Agricola  Bovio Gianfranco,Barolo Gattera 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,48,3,15,Legno 24 mesi
Azienda Agricola  Bovio Gianfranco,Barolo 2017,,Nebbiolo 100%,,Primi piatti di pasta o pasta fresca ripiena,30,8,"14,5",Legno 22 mesi
Brezza,Barolo Sarmassa 2017,92,Nebbiolo 100%,"Dal taglio olfattivo classico e raffinato, propone i tipici sentori del nebbiolo della tradizione, cioè spezie fini, fiori rossi e piccoli frutti tra cui croccante ciliegia, rose e viole, erbe e noce moscata Al gusto non manca di struttura e carisma, rispondendo con corpo e tannini, proporzione e lunghezza",Carrè di agnello in salsa alle erbe,46,6,"14,5",Legno 24 mesi
Brezza,Barolo Cannubi 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,42,9,"14,5",Legno 24 mesi
Brezza,Barolo Castellero 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,40,5,14,Legno 24 mesi
Bricco Maiolica,Langhe Chardonnay Pensiero Infinito 2017,,Chardonnay 100%,,Formaggi stagionati o erborinati,36,,14,Legno 30 mesi
Bricco Maiolica,Langhe Pinot Nero Perlei 2018,,Pinot nero 100%,,"Zuppe, minestre o vellutate",22,4,"13,5",Legno 9 mesi
Broglia,Gavi Del Comune Di Gavi La Meirana 2020,,Cortese 100%,"Paglierino luminoso Intensi profumi di fiori e frutta: acacia, ginestra, fiori di montagna, mela renetta, ananas, arancia bionda, albicocca, poi il mazzetto di erbe aromatiche e la selce umida Palato gustoso e di sostanza che mostra tanta freschezza, sapidità e lunghe permanenze gusto-olfattive",Trofie al pesto,15,300,"13,5",Acciaio 6 mesi
Broglia,Gavi Del Comune Di Gavi Villa Broglia 2020,,Cortese 100%,,Formaggi freschi o a pasta filata,20,30,"13,5",Acciaio 6 mesi
Bugia Nen,Barolo Cerretta 2017,,Nebbiolo 100%,"Cerretta di gran livello, profondo nel tono olfattivo di frutta rossa fresca di superba espressione, note di pesca, erbe, tanta fragola e confetture La bocca è importante e si espande equilibrata e precisa, con tannini fini e lungo sapore Dal 2029",Spezzatino di cervo,58,3,14,Legno 24 mesi
Piero Busso,Barbaresco San Stunet 2017,93,Nebbiolo 100%,"La prima volta del San Stunet di Treiso E’ un 2017 che unisce l'eleganza al piglio austero del terroir Il naso è sciolto e ampio, decisamente fruttato e floreale, con intriganti note di noce moscata e cipria che accompagnano la pura massa fruttata La struttura è piena, l'equilibrio come da manuale",Prosciutto al forno in salsa di Madeira,48,4,"14,5",Legno 24 mesi
Piero Busso,Barbaresco Albesani Vigna Borgese,92,Nebbiolo 100%,"Fine, delicato: un Albesani in gran forma Il naso è delicato, giocato sui dettagli e sulla precisione offrendosi fruttato di ciliegia, lampone e arancia sanguinella e poi complesso nelle note di erbe e foglie secche, aghi di pino e liquirizia La bocca è importante e gustosa, dal tannino tosto e maturo",Arista di maiale,50,3,"14,5",Legno 24 mesi
Ca' Del Baio,Barbaresco Asili 2018,93,Nebbiolo 100%,"Granato L'olfazione è un tripudio di giovanili ma aristocratiche sensazioni nebbiolizzanti: lampone e melograno, violetta, menta, erbe officinali e aromatiche, soffusioni speziate Impatto fruttato anche al palato, con equilibrato scheletro tannico e finale lunghissimo, continuo",Spiedini di cinghiale,39,9,15,Legno 24 mesi
Ca' Del Baio,Barbaresco Asili Riserva 2016,,Nebbiolo 100%,,Carni rosse o selvaggina,79,1,"14,5",Legno 24 mesi
Ca' Del Baio,Barbaresco Vallegrande 2018,,Nebbiolo 100%,,Carni rosse o selvaggina,28,12,15,Legno 24 mesi
Ca' D'Gal,Asti,,Moscato bianco 100%,,Dolci al cucchiaio o a base di frutta,14,15,7,
Ca' Viola,Barolo Sottocastello Di Novello 2017,93,Nebbiolo 100%,"Granato fine ed esemplare Profilo olfattivo purissimo e integro, con un incipit floreale dominato dalla violetta, prosegue fruttato di fragolina, ribes e confettura di lamponi, terminando con uno sbuffo mentolato Al gusto è fine ed elegante, con tannini fitti e rotondi e lunga persistenza sapida",Filetto di manzo alla griglia,65,4,"14,5",Legno 36 mesi
Ca' Viola,Barolo Caviot 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,45,6,"14,5",Legno 24 mesi
Ca' Viola,Langhe Nebbiolo Giblin 2019,,Nebbiolo 100%,,Primi piatti di pasta o pasta fresca ripiena,24,8,"14,5",Legno 15 mesi
Cantina Del Pino,Barbaresco Albesani 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,50,3,15,Legno 24 mesi
Cantina Del Pino,Barbaresco 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,35,13,"14,5",Legno 24 mesi
Cantina Del Pino,Langhe Nebbiolo 2020,,Nebbiolo 100%,,Primi piatti di pasta o pasta fresca ripiena,15,9,14,Acciaio 9 mesi
Cantina Produttori Nebbiolo Di Carema,Villa Nova,,Nebbiolo 100%,,"Crostacei, molluschi o crudità",15,2,"12,5",
Cascina Amalia,Barolo Le Coste Di Monforte 2017,,Nebbiolo 100%,"Colore rosso granato Al naso esprime il classico bouquet floreale in stile Monforte Si riconoscono profumi di rosa, violetta, lampone, ribes rosso, pesca, menta, pepe bianco, liquirizia e anice stellato In bocca è ricco di gusto e sostenuto da un'intensa trama tannico-sapida Chiude su toni balsamici",Spezzatino agli aromi con patate,40,3,15,Legno 32 mesi
Cascina Amalia,Langhe Nebbiolo 2019,,Nebbiolo 100%,,Carni bianche o da cortile,16,6,"13,5",Acciaio 18 mesi
Cascina Amalia,Langhe Dolcetto 2020,,Dolcetto 100%,,Primi piatti di pasta o pasta fresca ripiena,10,6,"13,5",Acciaio 9 mesi
Cascina Amalia,Langhe Rossese Bianco 2019,,Rossese bianco 100%,,Piatti di pesce,16,2,13,Acciaio 12 mesi e Legno 12 mesi
Cascina Bongiovanni,Barolo 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,35,10,14,Acciaio 18 mesi e Legno 18 mesi
Cascina Bongiovanni,Barolo Riserva 2015,,Nebbiolo 100%,,Carni rosse o selvaggina,60,40,15,Acciaio 12 mesi e Legno 36 mesi
Cascina Bongiovanni,Langhe Nebbiolo 2019,,Nebbiolo 100%,,Carni bianche o da cortile,18,4,14,Acciaio 6 mesi e Legno 12 mesi
Cascina Castella,Langhe Rossese Bianco 2020,,Rossese bianco 100%,"Giallo paglierino netto Al naso presenta una fine miscellanea di note floreali e fruttate, a partire da rosa e biancospino fino al melone e alla pesca bianca e termina con un ricordo mentolato Al palato è corrispondente con ritorni balsamici, piacevolmente fresco e di lunga persistenza sapida",Trota al cartoccio,12,600,"12,5",
Cascina Chicco,Roero Valmaggiore Riserva 2018,,Nebbiolo 100%,"Luminoso rosso granato Naso fine e sussurrato, che propone fiori ancora freschi, fragolina macerata, caramellina inglese al lampone, pesca, cioccolato al latte, soffi balsamici, pepe bianco Il tannino è ricco e misurato; la struttura importante è ben  contenuta dalla freschezza e soprattutto dalla sapidità",Cosciotto d'agnello arrosto,18,10,"14,5",Legno 18 mesi
Cascina Chicco,Barolo Ginestra Riserva 2015,,Nebbiolo 100%,,Carni rosse o selvaggina,45,3,"14,5",Acciaio 6 mesi e Legno 42 mesi
Cascina Chicco,Barolo Rocche Di Castelletto 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,25,23,"14,5",Acciaio 6 mesi e Legno 30 mesi
Cascina Chicco,Roero Montespinato 2019,,Nebbiolo 100%,,Carni rosse o selvaggina,12,17,"14,5",Acciaio 3 mesi e Legno 12 mesi
Cascina Fontana,Barolo 2016,,Nebbiolo 100%,,Carni rosse o selvaggina,50,8,14,Acciaio 5 mesi e Legno 24 mesi
Cascina Fontana,Langhe Nebbiolo 2019,,Nebbiolo 100%,,Carni bianche o da cortile,22,7,14,Acciaio 6 mesi e Legno 12 mesi
Cascina La Barbatella,Monferrato Rosso Sonvico 2016,,Cabernet 70% – Barbera 30%,,Carni rosse o selvaggina,35,1,15,Acciaio 6 mesi e Legno 24 mesi
Cascina La Barbatella,Monferrato Rosso Ruanera 2018,,Cabernet sauvignon 60% – Barbera 40%  Alc.14%,,Primi piatti di pasta o pasta fresca ripiena,14,6,14,Legno 12 mesi
Cascina Val Del Prete,Roero Vigna Di Lino 2017,92,Nebbiolo 100%,"Rosso che dal rubino tende al granato Naso fresco ed elegante che si esprime su dolcezze di liquirizia, pesca, frutti di bosco macerati, spezie chiare, mentolo Il sorso è altrettanto fresco, vigoroso e saporito; il tannino preciso regala persistenza e ulteriore piacevolezza e assicura grande longevità",Filetto al pepe verde,25,1,"15,5",Legno 16 mesi
Cascina Val Del Prete,Roero Bricco Medica 2018,,Nebbiolo 100%,,Carni rosse o selvaggina,20,3,"15,5",Legno 12 mesi
Francesca Castaldi,Fara 2017,,Nebbiolo 70% – Vespolina 30%,"Splendido colore granato luminoso Esordio fruttato e speziato ricco di frutti rossi, lampone, ciliegia, con suggestioni floreali di viola e peonia Delicata la compagine speziata che ricorda il pepe, lo zenzero e il chiodo di garofano Sorso energico, fresco e dinamico, con rimandi olfattivi davvero sorprendenti Equilibrio piacevole e persistenza fruttata",Pollo allo spiedo,30,2,"13,5",Legno 24 mesi
Francesca Castaldi,Colline Novaresi Bianco Lucia 2020,,Erbaluce 100%,,Formaggi freschi o a pasta filata,15,3,14,Acciaio 6 mesi
Castello Di Neive,Barbaresco Albesani Santo Stefano 2018,,Nebbiolo 100%,,Carni rosse o selvaggina,41,12,"14,5",Acciaio 6 mesi e Legno 15 mesi
Castello Di Neive,Barbaresco 2018,,Nebbiolo 100%,,Carni rosse o selvaggina,28,50,"14,5",Acciaio 6 mesi e Legno 12 mesi
Castello Di Neive,Barbaresco Gallina 2018,,Nebbiolo 100%,,Carni rosse o selvaggina,35,3,"14,5",Acciaio 6 mesi e Legno 15 mesi
Caudrina,Nizza Montevenere 2018,,Barbera 100%,,Carni rosse o selvaggina,17,4,"14,5",Acciaio 10 mesi e Legno 15 mesi
Caudrina,Monferrato Rosso Sfacciato 2018,,Nebbiolo 100%,,Risotti di terra,15,3,"14,5",Acciaio 10 mesi e Legno 15 mesi
Cavelli,Ovada Riserva Bricco Le Zerbe 2017,,Dolcetto 100%,"Rubino tendente al granato Entrano al naso profumi netti di lampone, ribes neri, succose amarene, pesche nel vino, rosa selvatica, pepe bianco, pietra ardesia e una lieve scia mentolata Gustoso, ricco, sapido, di freschezza salivante, tannino levigato e gradevole, e con lunghi richiami di aromi di bocca",Tagliata di manzo alle erbe aromatiche,12,5,"14,5",Legno 20 mesi
Cavelli,Monferrato Nebbiolo Superiore Cris 2019,,Nebbiolo 100%,,Primi piatti di pasta o pasta fresca ripiena,15,2,14,Legno 18 mesi
Cerutti,Piemonte Chardonnay Riva Granda 2018,,Chardonnay 100%,,Carni bianche o da cortile,17,3,"12,5",Acciaio 9 mesi e Legno 9 mesi
Cerutti,Alta Langa Brut Enrico Cerutti 2017,,"Pinot nero 80% – Chardonnay 20% Alc.12,5%",,"Crostacei, molluschi o crudità",25,4,"12,5",
Chionetti,Barolo Bussia Vigna Pianpolvere 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,70,1,"14,5",Legno 24 mesi
Chionetti,Barolo Roncaglie 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,50,4,14,Legno 24 mesi
Chionetti,Langhe Riesling 2020,,Riesling renano 100%,,"Crostacei, molluschi o crudità",22,4,"13,5",Acciaio 8 mesi
Chionetti,Dogliani San Luigi 2020,,Dolcetto 100%,,"Zuppe, minestre o vellutate",12,40,13,Acciaio 9 mesi
Cieck,Erbaluce Di Caluso Misobolo 2019,92,Erbaluce 100%,"Paglierino vivace e luminoso, fragranti e intensi profumi di agrumi, mela renetta, uva spina, fiori gialli ed erbe aromatiche che si completano in una delicata sfumatura di anice Al gusto è scattante, con trama fresca ma soprattutto sapida che completa il sorso di grande equilibrio e persistenza",Trota alla mugnaia,12,10,13,Acciaio 8 mesi
Cieck,Erbaluce Di Caluso Passito Alladium 2014,,Erbaluce 100%,,Formaggi stagionati o erborinati,22,1,14,Legno 48 mesi
Cieck,Erbaluce Di Caluso Ingenuus 2018,,Erbaluce 100%,,"Zuppe, minestre o vellutate",16,855,13,Legno 18 mesi
Cieck,Erbaluce Di Caluso Spumante Nature 2017,,Erbaluce 100%,,"Crostacei, molluschi o crudità",22,4,13,Acciaio 6 mesi | 48 mesi sui lieviti
Cieck,Canavese Nebbiolo Sust 2018,,Nebbiolo 100%,,Carni rosse o selvaggina,14,4,14,Legno 18 mesi
Massimo Clerico,Coste Della Sesia Nebbiolo Spanna 2019,,Nebbiolo 100%,,Carni bianche o da cortile,25,2,13,Acciaio 3 mesi e Legno 12 mesi
Cogno,Barolo Ravera Vigna Elena,95,Nebbiolo 100%,"Gran vino Elegante, raffinato, pregiato: un Barolo che fa il vuoto dietro a sè Il piglio è quello della tradizione: sentori di ferro e terra bagnata, fiori passiti, erbe, menta e foglie secche; poi la frutta rossa, tra cui melograno, ribes, erbe e ciliegia Il resto è proporzione, dolcezza e sapido finale",Piccione al forno,95,4,"14,5",Legno 36 mesi
Cogno,Barolo Ravera Bricco Pernice 2016,93,Nebbiolo 100%,"Non perde la sua indole di leader E’ ferroso al naso, cauto e introverso Poi si apre in tutta la sua dimensione, con profumi profondi di sottobosco e fiori rossi: viola e petali di rosa, cedro, agrumi, ciliegia, liquirizia, lavanda e menta In bocca non si fa mancare nulla: ha vigore, tannini e tanta classe",Filetto di Angus,90,5,"14,5",Legno 30 mesi
Cogno,Barolo Ravera 2017,,Nebbiolo 100%,,Carni rosse o selvaggina,70,10,"14,5",Legno 24 mesi
Cogno,Barbaresco Bordini 2018,,Nebbiolo 100%,,Risotti di terra,35,10,"14,5",Legno 12 mesi
Collina Serragrilli,Barbaresco Starderi 2018,,Nebbiolo 100%,"Rosso rubino che vira al granato Fine e preciso: spezie dolci, sbuffi balsamici, note di sottobosco, frutta dolce macerata, erbe aromatiche, un refolo etereo Imponente, ricco e polposo; tannino scalpitante ma di classe; beva equilibrata ed estremamente piacevole",Filetto al ribes,50,3,"14,5",Legno 28 mesi
Collina Serragrilli,Barbaresco Serragrilli 2018,,Nebbiolo 100%,,Formaggi stagionati o erborinati,35,3,"14,5",Legno 28 mesi
